id,libdep,circo,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,actemp,actcho,inactret,age_moyen,libelle_commune,total_voix_par_ville,catégorie,nom,voix,pourcentage_voix,code_insee,insecurite,taux_chomage_moyen
192,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Amifontaine,303,Petite ville,abstentions,64,21.122112211221122,02013,0.0,10.375
193,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Amifontaine,303,Petite ville,blancs,5,1.65016501650165,02013,0.0,10.375
194,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Amifontaine,303,Petite ville,nuls,3,0.9900990099009901,02013,0.0,10.375
31380,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,ARTHAUD,2,1.550387596899225,60659,0.0,7.375
31381,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,ROUSSEL,1,0.7751937984496124,60659,0.0,7.375
31382,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,MACRON,40,31.007751937984494,60659,0.0,7.375
31383,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,LASSALLE,3,2.3255813953488373,60659,0.0,7.375
31384,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,LE PEN,25,19.379844961240313,60659,0.0,7.375
31385,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,ZEMMOUR,20,15.503875968992247,60659,0.0,7.375
31386,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,MÉLENCHON,12,9.30232558139535,60659,0.0,7.375
31387,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,HIDALGO,1,0.7751937984496124,60659,0.0,7.375
31388,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,JADOT,4,3.10077519379845,60659,0.0,7.375
31389,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,PÉCRESSE,4,3.10077519379845,60659,0.0,7.375
31390,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,POUTOU,1,0.7751937984496124,60659,0.0,7.375
31391,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,DUPONT-AIGNAN,2,1.550387596899225,60659,0.0,7.375
31392,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,abstentions,9,6.976744186046512,60659,0.0,7.375
31393,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,blancs,4,3.10077519379845,60659,0.0,7.375
31394,Oise,60002,11.5,26.4,31.2,24.4,6.4,41.4,6.4,21.1,39.9,Vaudancourt,129,Petite ville,nuls,1,0.7751937984496124,60659,0.0,7.375
